epoch,acc,loss,lr,val_acc,val_loss
0,0.63625,17.927643852233885,0.001,0.43694267591853053,21.181677923992183
1,0.7706766914305532,16.915480085482873,0.001,0.4394904462774848,20.490028891593788
2,0.8057644105794137,15.924047613502445,0.001,0.4305732489391497,21.124557667628974
3,0.893483709273183,14.68539814243938,0.001,0.761783439908058,14.838752069898472
4,0.8575,13.809125328063965,0.001,0.4636942680094652,20.665009268985433
5,0.9197994985974821,12.656764749895062,0.001,0.5350318475134054,14.54526927607834
6,0.9373433579478347,11.68053904989907,0.001,0.4700636947990223,18.702575564536318
7,0.9160401002506265,10.85639556846523,0.001,0.7038461536933214,12.741257020754691
8,0.91375,10.084384441375732,0.001,0.8726114651959413,9.862064116168174
9,0.9423558897243107,9.233046017792589,0.001,0.6662420386721374,10.543048751733865
10,0.9197994987468672,8.608292197225088,0.001,0.6815286624963116,9.720105821159995
11,0.9373433579478347,7.94981959350127,0.001,0.453503185130988,14.879325631014101
12,0.905,7.51692214012146,0.001,0.555414012966642,10.643745203686368
13,0.9486215538847118,6.866089445606509,0.001,0.5668789811195082,8.794256320880477
14,0.9411027570416156,6.4392538417252085,0.001,0.36178343987009326,11.370600176768697
15,0.9699248117313051,5.954973689296789,0.001,0.6230769236118365,8.928208183630918
16,0.9625,5.584077615737915,0.001,0.8242038227190638,6.2396819752492725
17,0.9686716787498397,5.2346955481029696,0.001,0.6942675156957784,8.355568356726579
18,0.968671679197995,4.898733917035554,0.001,0.7961783447842689,5.391460078537085
19,0.9774436090225563,4.618720211182023,0.001,0.7082802543974226,5.290148258816664
20,0.9575,4.405878143310547,0.001,0.5159235672586283,8.46595492514835
21,0.9786967418546366,4.111333847045898,0.001,0.39617834440462146,6.321916684679165
22,0.9498746862686368,3.9724754516343426,0.001,0.3566878984688194,12.584584408656807
23,0.943609022556391,3.8242027018602034,0.001,0.4820512824715712,8.584673475607847
24,0.9625,3.5992464303970335,0.001,0.7312101919939563,5.3187726433869384
25,0.96992481158192,3.4458936222812584,0.0003162278,0.40509554185685076,7.731189159223229
26,0.9887218045112782,3.3267409723802914,0.0003162278,0.881528663483395,3.6982098123829834
27,0.9887218045112782,3.275714130927447,0.0003162278,0.9464968155903422,3.3358794516059245
28,0.98875,3.209212794303894,0.0003162278,0.9707006373223226,3.242872620843778
